Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-24,17.0,-0.04986939095753837,-0.04986939095753837
2025-02-25,23.0,0.4733774764231605,0.4733774764231605
2025-02-26,19.0,0.1245462315026946,0.1245462315026946
2025-03-02,7.5,-0.878343597643645,-0.878343597643645
2025-03-03,34.0,1.4326633999544418,1.4326633999544418
2025-03-04,35.5,1.5634751167996166,1.5634751167996166
2025-03-05,27.5,0.8658126269586847,0.8658126269586847
2025-03-06,19.0,0.1245462315026946,0.1245462315026946
2025-03-09,9.0,-0.7475318807984702,-0.7475318807984702
2025-03-10,28.0,0.9094165325737429,0.9094165325737429
2025-03-11,26.0,0.73500091011351,0.73500091011351
2025-03-14,14.5,-0.2678889190328296,-0.2678889190328296
2025-03-16,6.5,-0.9655514088737615,-0.9655514088737615
2025-03-17,16.5,-0.0934732965725966,-0.0934732965725966
2025-03-18,21.0,0.29896185396292757,0.29896185396292757
2025-03-19,22.5,0.4297735708081023,0.4297735708081023
2025-03-20,19.0,0.1245462315026946,0.1245462315026946
2025-03-21,13.0,-0.3987006358780043,-0.3987006358780043
2025-03-23,5.0,-1.0963631257189361,-1.0963631257189361
2025-03-24,14.0,-0.3114928246478878,-0.3114928246478878
2025-03-25,15.0,-0.22428501341777132,-0.22428501341777132
2025-03-26,10.504028320312273,-0.6163688629559284,-0.6163688629559284
2025-03-30,10.5,-0.6167201639532955,-0.6167201639532955
2025-03-31,15.5,-0.1806811078027131,-0.1806811078027131
2025-04-01,16.5,-0.0934732965725966,-0.0934732965725966
2025-04-02,41.0,2.043118078565257,2.043118078565257
2025-04-03,21.5,0.3425657595779858,0.3425657595779858
2025-04-04,28.5,0.9530204381888012,0.9530204381888012
2025-04-06,27.0,0.8222087213436264,0.8222087213436264
2025-04-07,76.0,5.095391471619334,5.095391471619334
2025-04-08,95.5,6.795943790606605,6.795943790606605
2025-04-09,77.0,5.18259928284945,5.18259928284945
2025-04-13,15.5,-0.1806811078027131,-0.1806811078027131
2025-04-14,29.5,1.0402282494189177,1.0402282494189177
2025-04-15,20.5,0.25535794834786935,0.25535794834786935
2025-04-16,17.5,-0.006265485342480129,-0.006265485342480129
2025-04-17,16.0,-0.13707720218765485,-0.13707720218765485
2025-04-20,10.5,-0.6167201639532955,-0.6167201639532955
2025-04-21,21.5,0.3425657595779858,0.3425657595779858
2025-04-22,32.5,1.301851683109267,1.301851683109267
2025-04-23,23.5,0.5169813820382188,0.5169813820382188
2025-04-24,14.5,-0.2678889190328296,-0.2678889190328296
2025-04-25,19.5,0.16815013711775284,0.16815013711775284
2025-04-27,7.5,-0.878343597643645,-0.878343597643645
2025-04-28,17.5,-0.006265485342480129,-0.006265485342480129
2025-04-29,21.5,0.3425657595779858,0.3425657595779858
2025-05-01,24.5,0.6041891932683352,0.6041891932683352
2025-05-04,9.5,-0.703927975183412,-0.703927975183412
2025-05-05,17.5,-0.006265485342480129,-0.006265485342480129
2025-05-06,17.0,-0.04986939095753837,-0.04986939095753837
2025-05-07,15.0,-0.22428501341777132,-0.22428501341777132
2025-05-08,21.5,0.3425657595779858,0.3425657595779858
2025-05-09,10.5,-0.6167201639532955,-0.6167201639532955
2025-05-11,4.0,-1.1835709369490526,-1.1835709369490526
2025-05-12,15.0,-0.22428501341777132,-0.22428501341777132
2025-05-14,19.5,0.16815013711775284,0.16815013711775284
2025-05-16,24.0,0.560585287653277,0.560585287653277
2025-05-18,12.0,-0.4859084471081208,-0.4859084471081208
2025-05-19,28.5,0.9530204381888012,0.9530204381888012
2025-05-20,23.0,0.4733774764231605,0.4733774764231605
2025-05-21,26.5,0.7786048157285682,0.7786048157285682
2025-05-22,25.0,0.6477930988833935,0.6477930988833935
2025-05-23,20.0,0.21175404273281107,0.21175404273281107
2025-05-25,8.5,-0.7911357864135284,-0.7911357864135284
2025-05-26,19.0,0.1245462315026946,0.1245462315026946
2025-05-27,15.0,-0.22428501341777132,-0.22428501341777132
2025-05-28,21.5,0.3425657595779858,0.3425657595779858
2025-06-01,16.0,-0.13707720218765485,-0.13707720218765485
2025-06-02,19.5,0.16815013711775284,0.16815013711775284
2025-06-03,20.5,0.25535794834786935,0.25535794834786935
2025-06-04,29.5,1.0402282494189177,1.0402282494189177
2025-06-05,16.0,-0.13707720218765485,-0.13707720218765485
2025-06-08,5.5,-1.052759220103878,-1.052759220103878
2025-06-09,13.0,-0.3987006358780043,-0.3987006358780043
2025-06-10,11.0,-0.5731162583382373,-0.5731162583382373
2025-06-13,31.5,1.2146438718791506,1.2146438718791506
2025-06-15,8.5,-0.7911357864135284,-0.7911357864135284
2025-06-16,16.5,-0.0934732965725966,-0.0934732965725966
2025-06-17,18.0,0.03733842027257811,0.03733842027257811
2025-06-18,15.5,-0.1806811078027131,-0.1806811078027131
2025-06-19,10.5,-0.6167201639532955,-0.6167201639532955
2025-06-20,17.5,-0.006265485342480129,-0.006265485342480129
2025-06-22,12.0,-0.4859084471081208,-0.4859084471081208
2025-06-23,23.0,0.4733774764231605,0.4733774764231605
2025-06-24,14.5,-0.2678889190328296,-0.2678889190328296
