Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-05-28,4.75,0.5065465225095854,0.5065465225095854
2023-05-30,3.5,0.00804913217422231,0.00804913217422231
2023-05-31,5.75,0.9053444347778759,0.9053444347778759
2023-06-01,2.25,-0.4904482581611408,-0.4904482581611408
2023-06-04,3.5,0.00804913217422231,0.00804913217422231
2023-06-05,3.25,-0.09165034589285032,-0.09165034589285032
2023-06-06,2.0,-0.5901477362282134,-0.5901477362282134
2023-06-07,2.5,-0.39074878009406816,-0.39074878009406816
2023-06-08,2.5,-0.39074878009406816,-0.39074878009406816
2023-06-11,3.25,-0.09165034589285032,-0.09165034589285032
2023-06-12,4.25,0.30714756637544016,0.30714756637544016
2023-06-15,4.0,0.20744808830836756,0.20744808830836756
2023-06-18,2.0,-0.5901477362282134,-0.5901477362282134
