Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-26,2.0,-0.19537206491076684,-0.19537206491076684
2025-03-30,3.875,0.6787591624146527,0.6787591624146527
2025-03-31,1.5,-0.42847372553087876,-0.42847372553087876
2025-04-01,2.125,-0.13709664975573888,-0.13709664975573888
2025-04-02,6.625,1.9608182958252682,1.9608182958252682
2025-04-03,6.125,1.7277166352051563,1.7277166352051563
2025-04-06,15.5,6.0983727718322545,6.0983727718322545
2025-04-07,6.5,1.9025428806702402,1.9025428806702402
2025-04-08,12.625,4.758038223266611,4.758038223266611
2025-04-09,6.75,2.019093710980296,2.019093710980296
2025-04-13,6.625,1.9608182958252682,1.9608182958252682
2025-04-14,2.5,0.03772959570934506,0.03772959570934506
2025-04-15,2.75,0.154280426019401,0.154280426019401
2025-04-16,3.875,0.6787591624146527,0.6787591624146527
2025-04-20,2.375,-0.020545819445682918,-0.020545819445682918
2025-04-21,1.875,-0.2536474800657948,-0.2536474800657948
2025-04-22,3.75,0.6204837472596249,0.6204837472596249
2025-04-23,2.375,-0.020545819445682918,-0.020545819445682918
2025-04-24,2.0,-0.19537206491076684,-0.19537206491076684
2025-04-27,1.5,-0.42847372553087876,-0.42847372553087876
2025-04-28,1.5,-0.42847372553087876,-0.42847372553087876
2025-04-29,1.5,-0.42847372553087876,-0.42847372553087876
2025-05-01,3.25,0.3873820866395129,0.3873820866395129
2025-05-04,2.125,-0.13709664975573888,-0.13709664975573888
2025-05-05,1.625,-0.37019831037585077,-0.37019831037585077
2025-05-06,2.875,0.212555841174429,0.212555841174429
2025-05-07,2.125,-0.13709664975573888,-0.13709664975573888
2025-05-08,1.625,-0.37019831037585077,-0.37019831037585077
2025-05-11,1.125,-0.6032999709959627,-0.6032999709959627
2025-05-12,2.125,-0.13709664975573888,-0.13709664975573888
2025-05-14,0.875,-0.7198508013060186,-0.7198508013060186
2025-05-18,3.0,0.270831256329457,0.270831256329457
2025-05-19,1.625,-0.37019831037585077,-0.37019831037585077
2025-05-20,3.0,0.270831256329457,0.270831256329457
2025-05-21,1.75,-0.3119228952208228,-0.3119228952208228
2025-05-22,1.375,-0.4867491406859067,-0.4867491406859067
2025-05-25,3.125,0.3291066714844849,0.3291066714844849
2025-05-26,1.875,-0.2536474800657948,-0.2536474800657948
2025-05-27,1.75,-0.3119228952208228,-0.3119228952208228
2025-05-28,6.25,1.7859920503601843,1.7859920503601843
2025-06-01,3.5,0.5039329169495689,0.5039329169495689
2025-06-02,1.0,-0.6615753861509907,-0.6615753861509907
2025-06-03,1.625,-0.37019831037585077,-0.37019831037585077
2025-06-04,2.75,0.154280426019401,0.154280426019401
2025-06-05,1.0,-0.6615753861509907,-0.6615753861509907
2025-06-08,2.125,-0.13709664975573888,-0.13709664975573888
2025-06-09,1.625,-0.37019831037585077,-0.37019831037585077
2025-06-10,1.625,-0.37019831037585077,-0.37019831037585077
2025-06-15,2.75,0.154280426019401,0.154280426019401
2025-06-16,2.75,0.154280426019401,0.154280426019401
2025-06-17,1.75,-0.3119228952208228,-0.3119228952208228
2025-06-18,2.0,-0.19537206491076684,-0.19537206491076684
2025-06-19,1.25,-0.5450245558409347,-0.5450245558409347
2025-06-22,3.375,0.4456575017945409,0.4456575017945409
2025-06-23,1.625,-0.37019831037585077,-0.37019831037585077
2025-06-24,0.5,-0.8946770467711025,-0.8946770467711025
